product_id,name,category,price,description
618,Clean Architecture Handbook,Software Engineering,189000.00,A practical guide for organizing maintainable backend services and frontend boundaries.
619,Data Science Field Notes,Data Science,225000.00,"Compact lessons on model evaluation, feature engineering, and production analytics."
620,Vietnamese Home Cooking,Cookbooks,159000.00,"Everyday recipes for broths, stir fries, herbs, sauces, and weeknight family meals."
621,AeroPods Lite Wireless Earbuds,Earbuds,690000.00,"Lightweight Bluetooth earbuds with clear calls, touch controls, and a compact charging case."
622,NovaCharge 20000 Power Bank,Power Banks,820000.00,High-capacity portable charger with dual USB-C ports and fast charging support.
623,Lumina Desk Lamp Pro,Lighting,540000.00,"Adjustable LED desk lamp with dimming, color temperature control, and wireless charging."
624,Orbit Mini Bluetooth Speaker,Speakers,760000.00,"Portable speaker with a fabric grille, punchy bass, and all-day battery life."
625,Everyday Cotton Overshirt,Clothing,430000.00,Relaxed cotton overshirt with large pockets and a clean everyday silhouette.
626,City Runner Knit Sneakers,Shoes,990000.00,Breathable knit sneakers with cushioned soles for commuting and casual weekends.
627,Linen Weekend Tote,Bags,380000.00,Structured linen tote with reinforced handles and a padded inner pocket.
628,Ceramic Pour Over Set,Kitchen & Dining,470000.00,Minimal ceramic coffee dripper with a matching server for slow morning brewing.
629,Bamboo Storage Organizer,Storage & Organization,310000.00,"Modular bamboo organizer for desks, cosmetics, stationery, and small home essentials."
630,Principles of Anatomy and Physiology,Software Engineering,240448.00,"Principles of Anatomy and Physiology by Gerard J. Tortora, listed in Open Library subject data for software."
631,"Advances in Computers, Volume 49 (Advances in Computers)",Software Engineering,122715.00,"Advances in Computers, Volume 49 (Advances in Computers) by Marvin V. Zelkowitz, listed in Open Library subject data for software."
632,The C Programming Language,Software Engineering,145084.00,"The C Programming Language by Brian W. Kernighan, listed in Open Library subject data for software."
633,Stellaluna,Software Engineering,325655.00,"Stellaluna by Janell Cannon, listed in Open Library subject data for software."
634,SPSS Survival Manual,Software Engineering,268447.00,"SPSS Survival Manual by Julie Pallant, listed in Open Library subject data for software."
635,Universe,Software Engineering,229032.00,"Universe by Roger A. Freedman, listed in Open Library subject data for software."
636,Excel 2010 For Dummies,Software Engineering,284836.00,"Excel 2010 For Dummies by Greg Harvey, listed in Open Library subject data for software."
637,DOS for Dummies,Software Engineering,201362.00,"DOS for Dummies by Dan Gookin, listed in Open Library subject data for software."
638,Internet & World Wide Web,Software Engineering,358706.00,"Internet & World Wide Web by Paul J. Deitel, listed in Open Library subject data for software."
639,The rat brain in stereotaxic coordinates,Software Engineering,196575.00,"The rat brain in stereotaxic coordinates by George Paxinos, listed in Open Library subject data for software."
640,Qualitative Research,Software Engineering,159459.00,"Qualitative Research by Renata Tesch, listed in Open Library subject data for software."
641,Computational physics,Software Engineering,217925.00,"Computational physics by Rubin H. Landau, listed in Open Library subject data for software."
642,Multilevel Modeling Using R,Software Engineering,237466.00,"Multilevel Modeling Using R by W. Holmes Finch, listed in Open Library subject data for software."
643,Statistics,Software Engineering,328354.00,"Statistics by Michael J. Crawley, listed in Open Library subject data for software."
644,Statistical Rethinking,Software Engineering,334895.00,"Statistical Rethinking by Richard McElreath, listed in Open Library subject data for software."
645,Drug calculations,Software Engineering,257591.00,"Drug calculations by Meta Brown Seltzer, listed in Open Library subject data for software."
646,History of the Canadian peoples,Software Engineering,205084.00,"History of the Canadian peoples by Margaret Conrad, listed in Open Library subject data for software."
647,The little SAS book,Software Engineering,151813.00,"The little SAS book by Lora D. Delwiche, listed in Open Library subject data for software."
648,Data analysis and graphics using R,Software Engineering,119166.00,"Data analysis and graphics using R by J. H. Maindonald, listed in Open Library subject data for software."
649,The Fortune at the Bottom of the Pyramid,Software Engineering,191945.00,"The Fortune at the Bottom of the Pyramid by C. K. Prahalad, listed in Open Library subject data for software."
650,Using R for Introductory Statistics,Software Engineering,230035.00,"Using R for Introductory Statistics by John Verzani, listed in Open Library subject data for software."
651,The Cathedral and the Bazaar,Software Engineering,149007.00,"The Cathedral and the Bazaar by Eric S. Raymond, listed in Open Library subject data for software."
652,Weather forecasting,Software Engineering,113684.00,"Weather forecasting by United States. General Accounting Office, listed in Open Library subject data for software."
653,Code Complete,Software Engineering,332473.00,"Code Complete by Steve McConnell, listed in Open Library subject data for software."
654,The American journey,Software Engineering,216904.00,"The American journey by David R. Goldfield, listed in Open Library subject data for software."
655,Simulation with Arena,Software Engineering,277007.00,"Simulation with Arena by W. David Kelton, listed in Open Library subject data for software."
656,Just Grandma and Me,Software Engineering,308604.00,"Just Grandma and Me by Mercer Mayer, listed in Open Library subject data for software."
657,Database system concepts,Software Engineering,173646.00,"Database system concepts by Abraham Silberschatz, listed in Open Library subject data for software."
658,MongoDB,Software Engineering,303332.00,"MongoDB by Michael Dirolf, listed in Open Library subject data for software."
659,Bioinformatics for geneticists,Software Engineering,271203.00,"Bioinformatics for geneticists by Michael R. Barnes, listed in Open Library subject data for software."
660,Applied software measurement,Software Engineering,163026.00,"Applied software measurement by Capers Jones, listed in Open Library subject data for software."
661,Canadian fundamentals of nursing,Software Engineering,247599.00,"Canadian fundamentals of nursing by Patricia A. Potter, listed in Open Library subject data for software."
662,Mastering Regular Expressions,Software Engineering,116876.00,"Mastering Regular Expressions by Jeffrey E. F. Friedl, listed in Open Library subject data for software."
663,Transactions on Engineering Technologies,Software Engineering,188547.00,"Transactions on Engineering Technologies by Sio-Iong Ao, listed in Open Library subject data for computer science."
664,Hacking for Dummies,Software Engineering,197261.00,"Hacking for Dummies by Kevin Beaver, listed in Open Library subject data for computer science."
665,Computational Linguistics and Intelligent Text Processing,Software Engineering,226143.00,"Computational Linguistics and Intelligent Text Processing by Alexander Gelbukh, listed in Open Library subject data for computer science."
666,Artificial Intelligence and Soft Computing,Software Engineering,246196.00,"Artificial Intelligence and Soft Computing by Leszek Rutkowski, listed in Open Library subject data for computer science."
667,Intelligent Robotics and Applications,Software Engineering,121583.00,"Intelligent Robotics and Applications by Honghai Liu, listed in Open Library subject data for computer science."
668,Artificial Intelligence Applications and Innovations,Software Engineering,311670.00,"Artificial Intelligence Applications and Innovations by Lazaros S. Iliadis, listed in Open Library subject data for computer science."
669,Pattern Recognition,Software Engineering,148615.00,"Pattern Recognition by Cheng-Lin Liu, listed in Open Library subject data for computer science."
670,Computer Concepts,Software Engineering,210575.00,"Computer Concepts by June Jamrich Parsons, listed in Open Library subject data for computer science."
671,Advances in Swarm Intelligence,Software Engineering,180588.00,"Advances in Swarm Intelligence by Ying Tan, listed in Open Library subject data for computer science."
672,"Cooperative Design, Visualization, and Engineering",Software Engineering,294598.00,"Cooperative Design, Visualization, and Engineering by Yuhua Luo, listed in Open Library subject data for computer science."
673,Systems Analysis and Design,Software Engineering,199537.00,"Systems Analysis and Design by Alan Dennis, listed in Open Library subject data for computer science."
674,BTEC National for IT Practitioners,Software Engineering,189791.00,"BTEC National for IT Practitioners by Sharon Yull, listed in Open Library subject data for computer science."
675,Advances in visual computing,Software Engineering,142901.00,"Advances in visual computing by George Bebis, listed in Open Library subject data for computer science."
676,Advances in Computers,Software Engineering,111512.00,"Advances in Computers by Marshall C. Yovits, listed in Open Library subject data for computer science."
677,Computer Confluence,Software Engineering,239564.00,"Computer Confluence by George Beekman, listed in Open Library subject data for computer science."
678,Java software solutions,Software Engineering,179049.00,"Java software solutions by Lewis, John, listed in Open Library subject data for computer science."
679,Learning Python,Software Engineering,272863.00,"Learning Python by Mark Lutz, listed in Open Library subject data for computer science."
680,Linear Algebra with Applications,Software Engineering,342768.00,"Linear Algebra with Applications by Gareth Williams, listed in Open Library subject data for computer science."
681,Objects first with Java,Software Engineering,186732.00,"Objects first with Java by David J. Barnes, listed in Open Library subject data for computer science."
682,Parallel Processing and Applied Mathematics,Software Engineering,321395.00,"Parallel Processing and Applied Mathematics by Roman Wyrzykowski, listed in Open Library subject data for computer science."
683,Integral Methods in Science and Engineering,Software Engineering,179390.00,"Integral Methods in Science and Engineering by Christian Constanda, listed in Open Library subject data for computer science."
684,Invitation to Computer Science,Software Engineering,326993.00,"Invitation to Computer Science by G. Michael Schneider, listed in Open Library subject data for computer science."
685,Neural Information Processing,Software Engineering,253978.00,"Neural Information Processing by Tingwen Huang, listed in Open Library subject data for computer science."
686,Technology in action,Software Engineering,275585.00,"Technology in action by Alan Evans, listed in Open Library subject data for computer science."
687,Discrete Mathematics and Its Applications,Software Engineering,261242.00,"Discrete Mathematics and Its Applications by Kenneth H. Rosen, listed in Open Library subject data for computer science."
688,"Emerging Research in Computing, Information, Communication and Applications",Software Engineering,190122.00,"Emerging Research in Computing, Information, Communication and Applications by N. R. Shetty, listed in Open Library subject data for computer science."
689,e-Business and Telecommunications,Software Engineering,116792.00,"e-Business and Telecommunications by Mohammad S. Obaidat, listed in Open Library subject data for computer science."
690,Computers Helping People with Special Needs,Software Engineering,236269.00,"Computers Helping People with Special Needs by Klaus Miesenberger, listed in Open Library subject data for computer science."
691,Advanced Computing and Systems for Security,Software Engineering,242307.00,"Advanced Computing and Systems for Security by Rituparna Chaki, listed in Open Library subject data for computer science."
692,Natural Language Processing and Information Systems,Software Engineering,130822.00,"Natural Language Processing and Information Systems by Elisabeth Métais, listed in Open Library subject data for computer science."
693,Image Analysis and Recognition,Software Engineering,101858.00,"Image Analysis and Recognition by Aurélio Campilho, listed in Open Library subject data for computer science."
694,The Innovators,Software Engineering,179873.00,"The Innovators by Walter Isaacson, listed in Open Library subject data for computer science."
695,Data Feminism,Data Science,243313.00,"Data Feminism by Catherine D`ignazio, listed in Open Library subject data for data science."
696,Dictionary of Distances,Data Science,161113.00,"Dictionary of Distances by Michel M. Deza, listed in Open Library subject data for data science."
697,Stock price analysis through Statistical and Data Science tools,Data Science,226321.00,"Stock price analysis through Statistical and Data Science tools by Vinaitheerthan Renganathan, listed in Open Library subject data for data science."
698,Data and Text Processing for Health and Life Sciences,Data Science,283982.00,"Data and Text Processing for Health and Life Sciences by Francisco M Couto, listed in Open Library subject data for data science."
699,Entrepreneurship der Zukunft,Data Science,173499.00,"Entrepreneurship der Zukunft by Lars Heim, listed in Open Library subject data for data science."
700,The Big Book of Data Science Use Cases,Data Science,99261.00,"The Big Book of Data Science Use Cases by Open Library, listed in Open Library subject data for data science."
701,Veri Biliminde R ile Veri Önişleme,Data Science,281245.00,"Veri Biliminde R ile Veri Önişleme by Zeynel Cebeci, listed in Open Library subject data for data science."
702,Programming Skills for Data Science,Data Science,211992.00,"Programming Skills for Data Science by Michael Freeman, listed in Open Library subject data for data science."
703,Data Science,Data Science,264984.00,"Data Science by Chantal D. Larose, listed in Open Library subject data for data science."
704,An Introduction to Data,Data Science,284421.00,"An Introduction to Data by Francesco Corea, listed in Open Library subject data for data science."
705,Before Machine Learning Volume 1 - Linear Algebra for A.I,Data Science,246153.00,"Before Machine Learning Volume 1 - Linear Algebra for A.I by Jorge Brasil, listed in Open Library subject data for data science."
706,Data Science at the Command Line,Data Science,108860.00,"Data Science at the Command Line by Jeroen Janssens, listed in Open Library subject data for data science."
707,Annibale Colombo Bed,Decor,47499750.00,"The Annibale Colombo Bed is a luxurious and elegant bed frame, crafted with high-quality materials for a comfortable and stylish bedroom."
708,Annibale Colombo Sofa,Decor,62499749.00,"The Annibale Colombo Sofa is a sophisticated and comfortable seating option, featuring exquisite design and premium upholstery for your living room."
709,Bedside Table African Cherry,Decor,7499750.00,"The Bedside Table in African Cherry is a stylish and functional addition to your bedroom, providing convenient storage space and a touch of elegance."
710,Knoll Saarinen Executive Conference Chair,Decor,12499750.00,"The Knoll Saarinen Executive Conference Chair is a modern and ergonomic chair, perfect for your office or conference room with its timeless design."
711,Wooden Bathroom Sink With Mirror,Decor,19999750.00,"The Wooden Bathroom Sink with Mirror is a unique and stylish addition to your bathroom, featuring a wooden sink countertop and a matching mirror."
712,Apple,Kitchen & Dining,49750.00,"Fresh and crisp apples, perfect for snacking or incorporating into various recipes."
713,Beef Steak,Kitchen & Dining,324750.00,"High-quality beef steak, great for grilling or cooking to your preferred level of doneness."
714,Cat Food,Kitchen & Dining,224750.00,Nutritious cat food formulated to meet the dietary needs of your feline friend.
715,Chicken Meat,Kitchen & Dining,249750.00,"Fresh and tender chicken meat, suitable for various culinary preparations."
716,Cooking Oil,Kitchen & Dining,124750.00,"Versatile cooking oil suitable for frying, sautéing, and various culinary applications."
717,Cucumber,Kitchen & Dining,49000.00,"Crisp and hydrating cucumbers, ideal for salads, snacks, or as a refreshing side."
718,Dog Food,Kitchen & Dining,274750.00,Specially formulated dog food designed to provide essential nutrients for your canine companion.
719,Eggs,Kitchen & Dining,74750.00,"Fresh eggs, a versatile ingredient for baking, cooking, or breakfast."
720,Fish Steak,Kitchen & Dining,374750.00,"Quality fish steak, suitable for grilling, baking, or pan-searing."
721,Green Bell Pepper,Kitchen & Dining,49000.00,"Fresh and vibrant green bell pepper, perfect for adding color and flavor to your dishes."
722,Green Chili Pepper,Kitchen & Dining,49000.00,"Spicy green chili pepper, ideal for adding heat to your favorite recipes."
